Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Lithuania,33.64776638,33.97593089,36.7562345,35.76174315,37.61653665,39.73766121,37.40171231,37.90652956,32.62374724,34.87425956,45.33525406,42.53206184,37.26674579,37.67211754
Mexico,25.73671301,26.56483585,26.94024469,29.53314633,31.44322769,33.77819299,35.87860097,34.26567777,34.39623323,35.12669994,40.28829681,40.19027543,39.48370837,39.97167088
New Zealand,29.67756022,34.7224855,35.72864182,34.57612404,34.17675017,34.19182913,33.37344881,31.12740221,28.09991537,31.84961931,43.29686568,47.53586537,47.14063251,45.77209376
Norway,25.07328187,19.8372272,20.69151277,19.54626278,15.35380262,15.42456144,16.54721465,15.70961968,14.64720897,14.19611024,18.42984768,15.09120175,12.84582103,13.81514936
Poland,48.93098795,49.63357811,49.22394992,51.40862608,45.86382906,46.40335071,50.11135952,46.82649736,44.87497499,42.53186312,46.94757125,43.24984843,40.37400422,39.63763825
Portugal,97.41396397,111.9785663,128.1043592,131.0141279,133.5105808,132.0342635,132.9402466,128.7607727,124.6441003,119.5145696,138.7639769,128.949662,117.2971628,105.0207382
Slovak Republic,45.98542691,48.42022085,57.77398865,57.6876141,56.91870234,55.96491366,57.10796439,55.9308502,54.42349703,52.76762059,64.62989497,66.42778719,65.19349102,61.48450572
Slovenia,32.68221893,40.89954262,46.44049332,60.33706685,69.12624687,70.21190142,67.07961832,66.81900803,63.60785911,58.7871028,72.94957847,68.62275703,66.35120299,63.12824248
Spain,51.38261914,58.64014635,77.49620601,87.96003241,91.69509339,91.16712117,90.52786562,90.30346101,89.94090338,87.9767116,107.828132,104.7326559,100.9291016,98.09838845
Sweden,40.93554896,39.73980024,40.47243371,43.09876524,45.74564271,44.45817011,42.86042386,41.33490044,40.02051651,36.51267551,42.10447554,38.82649195,36.7520264,32.21002047
Switzerland,16.67876132,16.39401005,16.37799719,16.01302912,15.40039109,14.70612459,13.70933928,14.1767804,12.81897018,12.27017899,13.85528645,13.5320261,14.01633561,14.71034798
United Kingdom,74.89314931,80.47426004,83.52975845,84.40832599,86.15758056,86.89911717,86.77224104,85.64515804,85.27550012,84.69023748,104.8135521,104.3702516,99.82170655,100.5270683
United States,73.64727498,78.52816636,82.79117999,84.94861136,85.64163419,86.48770156,88.83493664,88.37883246,90.41917263,92.46621038,117.0550804,112.3150837,108.8682067,112.2567602
